image,occlusion,cited_drop,control_drop,n_features,dataset,effect_over_control
MHIST_ali.png,black,0.14609996477762857,0.2771667495369911,3,MHIST,-0.13106678475936254
MHIST_ali.png,blur,0.1910713712374369,0.22777202874422073,3,MHIST,-0.036700657506783835
MHIST_ali.png,mean,0.13229569792747498,0.2419508223732312,3,MHIST,-0.10965512444575623
MHIST_alo.png,black,0.2602241784334182,0.21158335843966117,3,MHIST,0.04864081999375705
MHIST_alo.png,blur,0.21736436088879899,0.14977177984657739,3,MHIST,0.0675925810422216
MHIST_alo.png,mean,0.2820453147093455,0.2310875502370652,3,MHIST,0.050957764472280315
MHIST_alr.png,black,0.09208149711290993,0.0953639916247792,3,MHIST,-0.003282494511869266
MHIST_alr.png,blur,0.23434204856554663,0.18358663524742477,3,MHIST,0.05075541331812186
MHIST_alr.png,mean,0.18242503205935157,0.17960104445616398,3,MHIST,0.0028239876031875832
MHIST_als.png,black,0.2331246733665466,0.3072168938815593,2,MHIST,-0.07409222051501271
MHIST_als.png,blur,0.1367195546627044,0.1574796333909034,2,MHIST,-0.02076007872819899
MHIST_als.png,mean,0.1628115475177765,0.3112851895391941,2,MHIST,-0.1484736420214176
MHIST_alt.png,black,0.25000132620334625,0.2564665084083875,2,MHIST,-0.00646518220504122
MHIST_alt.png,blur,0.16444277763366694,0.10873007799188289,2,MHIST,0.05571269964178405
MHIST_alt.png,mean,0.2612641006708145,0.18279122610886883,2,MHIST,0.07847287456194568
MHIST_alv.png,black,-0.18654731909433997,-0.17570786376794176,3,MHIST,-0.010839455326398212
MHIST_alv.png,blur,-0.1535904804865519,-0.14847042659918464,3,MHIST,-0.005120053887367276
MHIST_alv.png,mean,-0.20113980770111076,-0.23244045178095496,3,MHIST,0.0313006440798442
MHIST_ame.png,black,-0.15900149941444391,-0.17251079976558686,2,MHIST,0.01350930035114295
MHIST_ame.png,blur,-0.2215749621391296,-0.20838418155908578,2,MHIST,-0.013190780580043832
MHIST_ame.png,mean,-0.1902684271335601,-0.20425157248973846,2,MHIST,0.013983145356178367
MHIST_ami.png,black,0.22398331761360163,0.2615451328456402,2,MHIST,-0.03756181523203855
MHIST_ami.png,blur,0.1263563930988311,0.24534243792295454,2,MHIST,-0.11898604482412345
MHIST_ami.png,mean,0.12625220417976374,0.26700362414121626,2,MHIST,-0.14075141996145252
MHIST_amm.png,black,0.23661963144938147,0.327841746310393,3,MHIST,-0.0912221148610115
MHIST_amm.png,blur,0.14663024743398023,0.24698427021503444,3,MHIST,-0.10035402278105421
MHIST_amm.png,mean,0.14667842785517368,0.24139459629853563,3,MHIST,-0.09471616844336195
MHIST_amo.png,black,0.36941015720367426,0.38799825236201285,3,MHIST,-0.01858809515833859
MHIST_amo.png,blur,0.2364693979422251,0.2776563281814257,3,MHIST,-0.041186930239200614
MHIST_amo.png,mean,0.24638070662816366,0.3377077351013819,3,MHIST,-0.09132702847321825
MHIST_amq.png,black,0.2391906181971232,0.3683728401859601,3,MHIST,-0.12918222198883691
MHIST_amq.png,blur,0.17148075501124063,0.31856810152530673,3,MHIST,-0.1470873465140661
MHIST_amq.png,mean,0.21759853760401404,0.4059035720924536,3,MHIST,-0.18830503448843955
MHIST_amv.png,black,0.30385011434555054,0.2178862385451793,2,MHIST,0.08596387580037124
MHIST_amv.png,blur,0.1492572426795959,0.1694034412503242,2,MHIST,-0.020146198570728302
MHIST_amv.png,mean,0.17152628302574155,0.19471414834260936,2,MHIST,-0.02318786531686781
MHIST_amw.png,black,-0.1483227411905924,-0.23231977025667824,3,MHIST,0.08399702906608583
MHIST_amw.png,blur,-0.1064289808273315,-0.22226467033227282,3,MHIST,0.11583568950494132
MHIST_amw.png,mean,-0.11802939573923743,-0.2407396674156189,3,MHIST,0.12271027167638146
MHIST_amz.png,black,0.2022363543510437,0.4194364314277967,3,MHIST,-0.21720007707675298
MHIST_amz.png,blur,0.09542063872019446,0.2888922333717346,3,MHIST,-0.19347159465154012
MHIST_amz.png,mean,0.12495134274164833,0.294135969877243,3,MHIST,-0.16918462713559468
MHIST_ana.png,black,0.3254152685403824,0.3134275443851948,2,MHIST,0.011987724155187562
MHIST_ana.png,blur,0.1336306035518646,0.23776903152465814,2,MHIST,-0.10413842797279355
MHIST_ana.png,mean,0.1832799315452575,0.2583036288619041,2,MHIST,-0.0750236973166466
MHIST_anc.png,black,0.462993785738945,0.40566756079594296,3,MHIST,0.057326224943002047
MHIST_anc.png,blur,0.37451561788717896,0.3262015183766683,3,MHIST,0.04831409951051069
MHIST_anc.png,mean,0.4258751223484675,0.3633334033191204,3,MHIST,0.06254171902934713
MHIST_and.png,black,0.1734214127063751,0.38078297935426236,2,MHIST,-0.20736156664788727
MHIST_and.png,blur,0.1683156490325927,0.3042546600103378,2,MHIST,-0.1359390109777451
MHIST_and.png,mean,0.1407036483287811,0.3344935320317745,2,MHIST,-0.1937898837029934
MHIST_ane.png,black,0.2267011702060699,0.42195858284831045,2,MHIST,-0.19525741264224056
